# source: topology|BGP|20100129|routeviews2
# source: topology|BGP|20100129|Ripe NCC RCC12
# type    label
# ----    -----
#   -1    customer
#    0    peer
# format:as0 | as1 | type
174|26572|-1
174|26576|-1
174|26611|-1
174|26629|-1
174|26647|-1
174|26654|-1
174|26688|-1
174|26694|-1
174|26696|-1
174|26700|-1
174|26714|-1
174|26741|-1
174|26750|-1
174|26774|-1
174|26778|-1
174|26779|-1
174|26785|-1
174|26788|-1
174|26800|-1
174|26819|-1
174|26833|-1
174|26835|-1
174|26838|-1
174|26854|-1
174|26859|-1
174|26877|-1
174|26878|-1
174|26910|-1
174|26913|-1
174|26914|-1
174|26939|-1
174|26944|-1
174|26956|-1
174|26957|-1
174|26969|-1
174|26991|-1
174|26996|-1
174|26998|-1
174|27024|-1
174|27161|-1
174|27163|-1
174|27169|-1
174|27172|-1
174|27173|-1
174|27204|-1
174|27214|-1
174|27226|-1
174|27229|-1
174|27245|-1
174|27251|-1
174|27255|-1
174|27258|-1
174|27302|-1
174|27314|-1
174|27323|-1
174|27326|-1
174|27335|-1
174|27342|-1
174|27361|-1
174|27364|-1
174|27370|-1
174|27385|-1
174|27387|-1
174|27390|-1
174|27399|-1
174|27412|-1
174|27420|-1
174|27424|-1
174|27431|-1
174|27436|-1
174|27447|-1
174|27472|-1
174|27475|-1
174|27484|-1
174|27498|-1
174|27501|-1
174|27514|-1
174|27524|-1
174|27525|-1
174|27533|-1
174|27536|-1
174|27552|-1
174|27586|-1
174|27592|-1
174|27597|-1
174|27602|-1
174|27603|-1
174|27607|-1
174|27630|-1
174|27634|-1
174|27638|-1
174|27645|-1
174|27781|-1
174|28673|-1
174|28677|-1
174|28717|-1
174|28721|-1
174|28757|-1
174|28768|-1
174|28786|-1
174|28792|-1
174|28809|-1
174|28851|-1
174|28878|-1
174|28914|-1
174|28939|-1
174|28959|-1
174|28971|-1
174|28972|-1
174|28999|-1
174|29003|-1
174|29045|-1
174|29076|-1
174|29086|-1
174|29119|-1
174|29129|-1
174|29134|-1
174|29141|-1
174|29154|-1
174|29231|-1
174|29246|-1
174|29265|-1
174|29297|-1
174|29301|-1
174|29321|-1
174|29354|-1
174|29358|-1
174|29391|-1
174|29400|-1
174|29405|-1
174|29422|-1
174|29462|-1
174|29518|-1
174|29542|-1
174|29562|-1
174|29568|-1
174|29605|-1
174|29606|-1
174|29607|-1
174|29631|-1
174|29671|-1
174|29698|-1
174|29701|-1
174|29716|-1
174|29737|-1
174|29739|-1
174|29748|-1
174|29752|-1
174|29773|-1
174|29787|-1
174|29799|-1
174|29800|-1
174|29802|-1
174|29808|-1
174|29815|-1
174|29825|-1
174|29826|-1
174|29844|-1
174|29845|-1
174|29851|-1
174|29857|-1
174|29859|-1
174|29862|-1
174|29872|-1
174|29873|-1
174|29874|-1
174|29889|-1
174|29895|-1
174|29916|-1
174|29924|-1
174|29925|-1
174|29945|-1
174|29948|-1
174|29954|-1
174|29970|-1
174|30000|-1
174|30014|-1
174|30040|-1
174|30050|-1
174|30063|-1
174|30083|-1
174|30093|-1
174|30105|-1
174|30112|-1
174|30115|-1
174|30140|-1
174|30149|-1
174|30158|-1
174|30160|-1
174|30169|-1
174|30183|-1
174|30195|-1
174|30207|-1
174|30208|-1
174|30209|-1
174|30212|-1
174|30218|-1
174|30259|-1
174|30271|-1
174|30278|-1
174|30283|-1
174|30302|-1
174|30304|-1
174|30350|-1
174|30365|-1
174|30394|-1
174|30421|-1
174|30454|-1
174|30460|-1
174|30462|-1
174|30477|-1
174|30481|-1
174|30489|-1
174|30503|-1
174|30507|-1
174|30514|-1
174|30529|-1
174|30538|-1
174|30556|-1
174|30590|-1
174|30593|-1
174|30634|-1
174|30637|-1
174|30641|-1
174|30645|-1
174|30655|-1
174|30656|-1
174|30666|-1
174|30721|-1
174|30741|-1
174|30742|-1
174|30751|-1
174|30802|-1
174|30803|-1
174|30880|-1
174|30914|-1
174|30933|-1
174|30948|-1
174|30972|-1
174|30998|-1
174|31012|-1
174|31015|-1
174|31027|-1
174|31031|-1
174|31034|-1
174|31042|-1
174|31055|-1
174|31122|-1
174|31127|-1
174|31156|-1
174|31167|-1
174|31170|-1
174|31197|-1
174|31220|-1
174|31221|-1
174|31243|-1
174|31246|-1
174|31252|-1
174|31276|-1
174|31290|-1
174|31333|-1
174|31334|-1
174|31339|-1
174|31428|-1
174|31442|-1
174|31458|-1
174|31463|-1
174|31498|-1
174|31500|-1
174|31543|-1
174|31554|-1
174|31555|-1
174|31591|-1
174|31595|-1
174|31641|-1
174|31651|-1
174|31653|-1
174|31659|-1
174|31673|-1
174|31677|-1
